episode,timestep,reward,steps,success
512,93774,298.52,148,1
513,93917,301.07,143,1
514,93989,247.28,72,1
515,94087,276.02,98,1
516,94233,297.5399,146,1
517,94427,325.0599,194,1
518,94606,318.7099,179,1
519,94672,241.34,66,1
520,94802,271.7001,130,1
521,94908,271.9401,106,1
522,95039,287.19,131,1
523,95223,313.1599,184,1
524,95322,266.5101,99,1
525,95434,264.8801,112,1
526,95502,252.32,68,1
527,95625,275.2701,123,1
528,95749,283.76,124,1
529,95907,291.42,158,1
530,96079,311.28,172,1
531,96192,277.37,113,1
532,96332,290.6,140,1
533,96507,307.75,175,1
534,96597,276.1,90,1
535,96668,255.79,71,1
536,96885,339.33,217,1
537,96976,266.59,91,1
538,97141,314.85,165,1
539,97292,298.99,151,1
540,97366,255.26,74,1
541,97513,309.03,147,1
542,97573,243.4,60,1
543,97703,286.7,130,1
544,97901,316.0199,198,1
545,97982,254.69,81,1
546,98073,261.59,91,1
547,98137,249.36,64,1
548,98249,278.88,112,1
549,98375,292.74,126,1
550,98539,309.3599,164,1
551,98744,321.4499,205,1
552,98948,323.9599,204,1
553,99088,308.6,140,1
554,99176,273.12,88,1
555,99346,323.3,170,1
556,99421,252.75,75,1
557,99545,290.76,124,1
558,99703,315.4199,158,1
559,99821,277.82,118,1
560,99931,265.9001,110,1
561,100029,279.02,98,1
562,100176,300.03,147,1
563,100334,301.42,158,1
564,100398,248.36,64,1
565,100508,273.9,110,1
566,100663,296.95,155,1
567,100860,329.5298,197,1
568,101039,320.7098,179,1
569,101095,244.44,56,1
570,101199,279.96,104,1
571,101292,274.57,93,1
572,101428,285.64,136,1
573,101593,310.85,165,1
574,101683,266.1001,90,1
575,101774,267.59,91,1
576,101850,249.24,76,1
577,101972,277.7801,122,1
578,102093,284.29,121,1
579,102225,294.68,132,1
580,102376,312.9899,151,1
581,102492,275.84,116,1
582,102615,292.27,123,1
583,102767,312.48,152,1
584,102884,272.33,117,1
585,102965,255.69,81,1
586,103212,342.0299,247,1
587,103302,269.1,90,1
588,103451,316.0099,149,1
589,103599,304.5199,148,1
590,103677,254.22,78,1
591,103824,307.03,147,1
592,103883,243.91,59,1
593,104016,288.17,133,1
594,104188,321.2799,172,1
595,104257,255.81,69,1
596,104338,263.6901,81,1
597,104401,248.87,63,1
598,104527,277.74,126,1
599,104665,294.62,138,1
600,104822,307.9299,157,1
601,105031,321.4098,209,1
602,105222,325.5899,191,1
603,105398,304.24,176,1
604,105493,270.55,95,1
605,105680,315.6299,187,1
606,105745,250.85,65,1
607,105883,286.62,138,1
608,106038,313.95,155,1
609,106141,276.47,103,1
610,106235,270.06,94,1
611,106342,278.43,107,1
612,106479,300.13,137,1
613,106632,300.97,153,1
614,106706,247.26,74,1
615,106814,272.92,108,1
616,106966,297.48,152,1
617,107138,327.2799,172,1
618,107328,318.0999,190,1
619,107389,244.89,61,1
620,107502,277.37,113,1
621,107603,275.49,101,1
622,107721,288.82,118,1
623,107887,315.34,166,1
624,107974,266.6301,87,1
625,108067,264.5701,93,1
626,108136,251.81,69,1
627,108253,274.33,117,1
628,108358,286.45,105,1
629,108499,294.09,141,1
630,108662,314.8699,163,1
631,108767,277.45,105,1
632,108880,293.37,113,1
633,109054,308.2599,174,1
634,109141,276.63,87,1
635,109217,256.24,76,1
636,109420,341.47,203,1
637,109514,267.06,94,1
638,109679,312.8499,165,1
639,109803,306.76,124,1
640,109878,255.75,75,1
641,110033,306.95,155,1
642,110083,245.5,50,1
643,110210,287.23,127,1
644,110360,326.4999,150,1
645,110431,256.79,71,1
646,110508,263.7301,77,1
647,110576,245.32,68,1
648,110673,283.53,97,1
649,110799,292.74,126,1
650,110957,308.4199,158,1
651,111128,324.7899,171,1
652,111290,332.3799,162,1
653,111439,307.01,149,1
654,111525,272.14,86,1
655,111699,323.2599,174,1
656,111763,252.36,64,1
657,111884,289.29,121,1
658,112044,315.4,160,1
659,112154,277.9,110,1
660,112240,272.14,86,1
661,112342,277.98,102,1
662,112475,302.1699,133,1
663,112614,306.11,139,1
664,112670,249.44,56,1
665,112777,271.43,107,1
666,112915,301.62,138,1
667,113103,329.1199,188,1
668,113253,321.4999,150,1
669,113314,242.89,61,1
670,113433,276.31,119,1
671,113532,274.51,99,1
672,113654,288.78,122,1
673,113817,311.8699,163,1
674,113916,264.5101,99,1
675,114007,266.5901,91,1
676,114080,249.77,73,1
677,114180,279.0,100,1
678,114291,286.39,111,1
679,114417,292.74,126,1
680,114569,313.4799,152,1
681,114679,278.9,110,1
682,114820,288.09,141,1
683,114973,312.97,153,1
684,115070,274.53,97,1
685,115137,255.83,67,1
686,115331,348.06,194,1
687,115413,267.18,82,1
688,115557,316.5599,144,1
689,115693,300.64,136,1
690,115772,255.7101,79,1
691,115946,305.26,174,1
692,116002,244.44,56,1
693,116130,290.72,128,1
694,116307,320.73,177,1
695,116382,255.75,75,1
696,116468,263.1401,86,1
697,116550,245.18,82,1
698,116653,282.47,103,1
699,116779,291.74,126,1
700,116932,308.97,153,1
701,117104,326.2799,172,1
702,117265,333.89,161,1
703,117416,307.99,151,1
704,117507,270.59,91,1
705,117676,321.8099,169,1
